37	81	1
10.000	0.100	0.000
-1.700E+2	-1.400E+0	0.000E+0	8.499E-2
-1.700E+2	-1.300E+0	0.000E+0	8.628E-2
-1.700E+2	-1.200E+0	0.000E+0	8.247E-2
-1.700E+2	-1.100E+0	0.000E+0	7.294E-2
-1.700E+2	-1.000E+0	0.000E+0	6.817E-2
-1.700E+2	-9.000E-1	0.000E+0	7.104E-2
-1.700E+2	-8.000E-1	0.000E+0	7.648E-2
-1.700E+2	-7.000E-1	0.000E+0	8.831E-2
-1.700E+2	-6.000E-1	0.000E+0	1.013E-1
-1.700E+2	-5.000E-1	0.000E+0	1.110E-1
-1.700E+2	-4.000E-1	0.000E+0	1.152E-1
-1.700E+2	-3.000E-1	0.000E+0	1.154E-1
-1.700E+2	-2.000E-1	0.000E+0	1.106E-1
-1.700E+2	-1.000E-1	0.000E+0	1.031E-1
-1.700E+2	0.000E+0	0.000E+0	9.360E-2
-1.700E+2	1.000E-1	0.000E+0	8.728E-2
-1.700E+2	2.000E-1	0.000E+0	8.323E-2
-1.700E+2	3.000E-1	0.000E+0	8.352E-2
-1.700E+2	4.000E-1	0.000E+0	8.480E-2
-1.700E+2	5.000E-1	0.000E+0	8.422E-2
-1.700E+2	6.000E-1	0.000E+0	7.831E-2
-1.700E+2	7.000E-1	0.000E+0	7.104E-2
-1.700E+2	8.000E-1	0.000E+0	6.386E-2
-1.700E+2	9.000E-1	0.000E+0	5.077E-2
-1.700E+2	1.000E+0	0.000E+0	3.927E-2
-1.700E+2	1.100E+0	0.000E+0	3.497E-2
-1.700E+2	1.200E+0	0.000E+0	3.484E-2
-1.700E+2	1.300E+0	0.000E+0	3.493E-2
-1.700E+2	1.400E+0	0.000E+0	4.351E-2
-1.700E+2	1.500E+0	0.000E+0	3.309E-2
-1.700E+2	1.600E+0	0.000E+0	3.146E-2
-1.700E+2	1.700E+0	0.000E+0	3.314E-2
-1.700E+2	1.800E+0	0.000E+0	3.680E-2
-1.700E+2	1.900E+0	0.000E+0	3.970E-2
-1.700E+2	2.000E+0	0.000E+0	4.132E-2
-1.700E+2	2.100E+0	0.000E+0	4.107E-2
-1.700E+2	2.200E+0	0.000E+0	4.027E-2
-1.700E+2	2.300E+0	0.000E+0	3.638E-2
